Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Will Smith,29,39,172,149,25,47,12,0,4,30,0,1,17,26,0.315,0.384,0.477,0.86,144,71,3,2,0,4,3,smithwi05
2,1B,Freddie Freeman*,34,47,208,170,27,49,12,1,4,24,1,1,30,35,0.288,0.404,0.441,0.845,141,75,4,5,0,3,4,freemfr01
3,2B,Gavin Lux*,26,34,125,116,14,23,3,1,1,11,1,0,9,27,0.198,0.256,0.267,0.523,50,31,2,0,0,0,0,luxga01
4,SS,Mookie Betts,31,47,218,185,40,63,11,3,8,29,8,1,33,21,0.341,0.44,0.562,1.003,184,104,1,0,0,0,0,bettsmo01
5,3B,Max Muncy* (10-day IL),33,40,167,139,24,31,8,0,9,28,0,0,21,50,0.223,0.323,0.475,0.798,125,66,1,2,0,5,2,muncyma01
6,LF,Chris Taylor,33,26,72,60,4,5,0,0,0,5,1,1,9,30,0.083,0.211,0.083,0.295,-12,5,2,1,1,1,0,tayloch03
7,CF,James Outman* (40-man),27,36,124,109,10,16,4,0,3,10,2,1,13,40,0.147,0.25,0.266,0.516,48,29,0,2,0,0,0,outmaja01
8,RF,Teoscar Hernández,31,47,197,181,28,44,7,1,11,36,3,1,14,60,0.243,0.301,0.475,0.776,118,86,3,1,0,0,0,hernate01
9,DH,Shohei Ohtani*,29,45,205,179,36,64,16,1,13,32,11,0,23,40,0.358,0.426,0.676,1.102,209,121,4,0,0,2,0,ohtansh01
10,OF,Andy Pages,23,28,115,105,17,28,6,0,4,13,1,1,4,32,0.267,0.304,0.438,0.742,109,46,3,3,0,3,0,pagesan01
11,UT,Enrique Hernández,32,33,98,89,6,20,1,0,2,7,0,0,8,17,0.225,0.286,0.303,0.589,69,27,5,0,0,1,0,hernaen02
12,IF,Miguel Rojas,35,28,69,63,9,16,5,0,2,7,2,0,6,6,0.254,0.319,0.429,0.747,111,27,2,0,0,0,0,rojasmi02
13,C,Austin Barnes,34,14,42,35,2,7,1,0,0,2,0,0,7,10,0.2,0.333,0.229,0.562,64,8,0,0,0,0,0,barneau01
14,RF,Jason Heyward*,34,5,19,17,4,4,0,0,1,4,0,0,0,1,0.235,0.263,0.412,0.675,89,7,0,1,0,1,0,heywaja01
15,OF,Taylor Trammell*,26,5,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,trammta01
16,P,Michael Grove,27,0,0,,,,,,,,,,,,,,,,,,,,,,,grovemi01
17,P,Elieser Hernández,29,0,0,,,,,,,,,,,,,,,,,,,,,,,hernael01
18,P,Eduardo Salazar (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,salazed01
19,P,Nick Ramirez* (40-man),34,0,0,,,,,,,,,,,,,,,,,,,,,,,ramirni01
20,P,Landon Knack* (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,knackla01
21,P,Yoshinobu Yamamoto,25,0,0,,,,,,,,,,,,,,,,,,,,,,,yamamyo01
22,P,Nabil Crismatt,29,0,0,,,,,,,,,,,,,,,,,,,,,,,crismna01
23,P,Gavin Stone,25,0,0,,,,,,,,,,,,,,,,,,,,,,,stonega01
24,P,Gus Varland* (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,varlagu01
25,P,Kyle Hurt (60-day IL),26,0,0,,,,,,,,,,,,,,,,,,,,,,,hurtky01
26,P,Walker Buehler,29,0,0,,,,,,,,,,,,,,,,,,,,,,,buehlwa01
27,P,Blake Treinen,36,0,0,,,,,,,,,,,,,,,,,,,,,,,treinbl01
28,P,Joe Kelly (15-day IL),36,0,0,,,,,,,,,,,,,,,,,,,,,,,kellyjo05
29,P,J.P. Feyereisen,31,0,0,,,,,,,,,,,,,,,,,,,,,,,feyerjo01
30,P,James Paxton*,35,0,0,,,,,,,,,,,,,,,,,,,,,,,paxtoja01
31,P,Bobby Miller* (15-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,millebo06
32,P,Connor Brogdon (15-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,brogdco01
33,P,Daniel Hudson,37,0,0,,,,,,,,,,,,,,,,,,,,,,,hudsoda01
34,P,Ryan Brasier (15-day IL),36,0,0,,,,,,,,,,,,,,,,,,,,,,,brasiry01
35,P,Alex Vesia*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,vesiaal01
36,P,Dinelson Lamet,31,0,0,,,,,,,,,,,,,,,,,,,,,,,lametdi01
37,P,Ryan Yarbrough,32,0,0,,,,,,,,,,,,,,,,,,,,,,,yarbrry01
38,P,Evan Phillips (15-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,phillev01
39,P,Tyler Glasnow*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,glasnty01
40,P,Ricky Vanasco,25,0,0,,,,,,,,,,,,,,,,,,,,,,,vanasri01
,,Team Totals,30.4,47,1837,1603,246,417,86,7,62,238,30,7,194,398,0.26,0.342,0.439,0.781,121,703,30,17,1,20,9,-9999
,,Rank in 15 NL teams,,,,1,1,1,1,5,1,,7,4,1,10,1,1,1,1,,1,,9,,1,,-9999
