Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Will Smith,29,63,271,238,36,66,16,1,10,44,0,1,24,43,0.277,0.343,0.479,0.822,132,114,5,3,0,6,3,smithwi05
2,1B,Freddie Freeman*,34,75,330,272,48,81,20,2,10,43,3,2,47,52,0.298,0.409,0.496,0.905,158,135,7,7,0,4,7,freemfr01
3,2B,Gavin Lux*,26,57,207,194,20,41,7,2,1,17,3,0,13,44,0.211,0.261,0.284,0.544,56,55,5,0,0,0,0,luxga01
4,SS,Mookie Betts (10-day IL),31,72,331,283,50,86,16,3,10,40,9,1,47,34,0.304,0.405,0.488,0.892,154,138,5,1,0,0,0,bettsmo01
5,3B,Max Muncy* (10-day IL),33,40,167,139,24,31,8,0,9,28,0,0,21,50,0.223,0.323,0.475,0.798,125,66,1,2,0,5,2,muncyma01
6,LF,Teoscar Hernández,31,75,317,286,41,73,15,1,18,54,4,2,27,90,0.255,0.326,0.503,0.829,133,144,4,3,0,0,1,hernate01
7,CF,Andy Pages,23,55,223,202,34,53,9,0,8,21,1,2,13,60,0.262,0.318,0.426,0.744,111,86,6,5,0,3,0,pagesan01
8,RF,Jason Heyward*,34,29,93,80,14,20,5,1,4,15,2,0,9,17,0.25,0.344,0.488,0.832,135,39,2,3,0,1,0,heywaja01
9,DH,Shohei Ohtani*,29,72,327,288,57,91,20,2,20,49,16,1,33,64,0.316,0.388,0.608,0.995,180,175,6,2,0,2,1,ohtansh01
10,3B,Enrique Hernández,32,53,162,146,11,29,3,0,4,11,0,0,15,34,0.199,0.272,0.301,0.573,64,44,5,0,0,1,0,hernaen02
11,IF,Miguel Rojas,35,44,125,117,16,34,10,0,3,15,3,0,8,11,0.291,0.336,0.453,0.789,123,53,4,0,0,0,0,rojasmi02
12,CF,James Outman* (40-man),27,36,124,109,10,16,4,0,3,10,2,1,13,40,0.147,0.25,0.266,0.516,48,29,0,2,0,0,0,outmaja01
13,LF,Chris Taylor,33,40,109,95,7,11,1,1,1,9,1,1,10,42,0.116,0.213,0.179,0.392,14,17,3,2,1,1,0,tayloch03
14,C,Austin Barnes,34,22,68,58,3,12,1,0,0,2,0,0,8,16,0.207,0.303,0.224,0.527,54,13,1,0,2,0,0,barneau01
15,LF,Miguel Vargas,24,9,27,23,6,7,4,0,1,5,1,0,3,5,0.304,0.37,0.609,0.979,174,14,0,0,0,1,0,vargami01
16,3B,Cavan Biggio*,29,5,18,14,1,3,0,0,0,1,0,0,2,4,0.214,0.353,0.214,0.567,67,3,0,1,0,0,0,biggica01
17,OF,Taylor Trammell*,26,5,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,trammta01
18,P,Michael Grove (15-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,,grovemi01
19,P,Elieser Hernández,29,0,0,,,,,,,,,,,,,,,,,,,,,,,hernael01
20,P,Eduardo Salazar,26,0,0,,,,,,,,,,,,,,,,,,,,,,,salazed01
21,P,Nick Ramirez* (40-man),34,0,0,,,,,,,,,,,,,,,,,,,,,,,ramirni01
22,P,Landon Knack* (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,knackla01
23,P,Yoshinobu Yamamoto (15-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,yamamyo01
24,P,Nabil Crismatt,29,0,0,,,,,,,,,,,,,,,,,,,,,,,crismna01
25,P,Gavin Stone,25,0,0,,,,,,,,,,,,,,,,,,,,,,,stonega01
26,P,Gus Varland* (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,varlagu01
27,P,Anthony Banda*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,bandaan01
28,P,Kyle Hurt (60-day IL),26,0,0,,,,,,,,,,,,,,,,,,,,,,,hurtky01
29,P,Walker Buehler,29,0,0,,,,,,,,,,,,,,,,,,,,,,,buehlwa01
30,P,Blake Treinen,36,0,0,,,,,,,,,,,,,,,,,,,,,,,treinbl01
31,P,Yohan Ramírez,29,0,0,,,,,,,,,,,,,,,,,,,,,,,ramiryo01
32,P,Joe Kelly (60-day IL),36,0,0,,,,,,,,,,,,,,,,,,,,,,,kellyjo05
33,P,J.P. Feyereisen,31,0,0,,,,,,,,,,,,,,,,,,,,,,,feyerjo01
34,P,James Paxton*,35,0,0,,,,,,,,,,,,,,,,,,,,,,,paxtoja01
35,P,Bobby Miller* (15-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,millebo06
36,P,Connor Brogdon (60-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,brogdco01
37,P,Daniel Hudson,37,0,0,,,,,,,,,,,,,,,,,,,,,,,hudsoda01
38,P,Ryan Brasier (60-day IL),36,0,0,,,,,,,,,,,,,,,,,,,,,,,brasiry01
