카테고리: 모든 카테고리

주,다저스: (대한민국),파드리스: (대한민국),다이아몬드백스: (대한민국),샌프란시스코 자이언츠: (대한민국),로키스: (대한민국)
2023-05-21,9,22,1,1,1
2023-05-28,7,17,1,1,0
2023-06-04,7,28,1,0,6
2023-06-11,7,21,0,1,4
2023-06-18,8,28,0,2,1
2023-06-25,7,26,1,0,4
2023-07-02,11,33,3,1,0
2023-07-09,5,20,3,1,0
2023-07-16,9,36,2,1,0
2023-07-23,10,33,0,1,1
2023-07-30,20,51,0,0,21
2023-08-06,42,63,13,1,4
2023-08-13,13,63,33,1,3
2023-08-20,12,56,12,0,0
2023-08-27,16,57,8,1,8
2023-09-03,14,59,1,0,5
2023-09-10,42,62,0,2,0
2023-09-17,16,39,0,0,23
2023-09-24,9,32,0,0,3
2023-10-01,2,2,0,0,0
2023-10-08,20,0,15,1,0
2023-10-15,1,0,1,0,0
2023-10-22,1,0,4,0,0
2023-10-29,1,0,6,0,0
2023-11-05,1,0,0,0,0
2023-11-12,1,0,0,1,0
2023-11-19,1,1,0,1,0
2023-11-26,1,0,0,0,0
2023-12-03,1,1,0,1,0
2023-12-10,12,1,0,10,0
2023-12-17,4,0,0,3,0
2023-12-24,3,0,0,1,0
2023-12-31,2,1,0,0,0
2024-01-07,2,1,0,1,0
2024-01-14,2,0,0,1,0
2024-01-21,3,1,0,0,0
2024-01-28,2,0,0,0,0
2024-02-04,2,0,0,1,0
2024-02-11,2,1,0,1,0
2024-02-18,4,1,0,1,0
2024-02-25,3,1,0,2,0
2024-03-03,3,1,0,2,0
2024-03-10,9,2,0,1,0
2024-03-17,94,63,0,3,0
2024-03-24,21,32,0,4,0
2024-03-31,100,78,1,9,0
2024-04-07,53,81,1,5,2
2024-04-14,63,73,32,6,1
2024-04-21,27,56,11,5,32
2024-04-28,17,30,10,22,1
2024-05-05,29,38,11,37,15
2024-05-12,46,36,1,35,15
2024-05-19,27,23,12,5,3
